#""ObjectID"""	X_Centr	Y_Centr	"NSA"
53437	1043175.81	6299445.70	24.45
3209	1044803.30	6300964.75	29.76
48993	1043153.68	6298401.79	29.84
2800	1044833.11	6299050.67	36.14
36372	1044906.59	6300507.21	36.22
2865	1042688.89	6299006.14	39.00
3089	1045050.72	6300790.10	39.11
36212	1044692.73	6300888.54	39.43
3304	1044014.90	6298518.39	39.47
2753	1044925.63	6298307.12	39.56
54138	1039204.18	6297606.22	39.58
5787	1045050.15	6298321.58	39.99
4484	1043195.38	6298878.01	40.10
54323	1042836.55	6300316.64	41.02
38453	1044858.75	6300364.10	48.35
3677	1043598.93	6299617.21	48.63
54326	1044581.46	6300278.55	56.75
54104	1043768.13	6299161.16	56.88
3642	1042216.38	6301778.61	56.90
36307	1045172.47	6300878.75	57.73
2756	1045708.92	6299010.16	59.64
54298	1044086.88	6300846.19	60.33
54334	1044590.06	6300259.19	69.89
54246	1043971.50	6301758.17	70.77
2910	1044807.65	6297875.63	71.35
49161	1043337.80	6298378.15	79.75
3727	1043478.00	6299301.27	87.94
2926	1044500.33	6297870.55	87.95
3809	1046487.66	6302503.71	88.14
3731	1045523.54	6301035.47	98.42
3309	1042756.55	6297694.76	99.45
3476	1043184.18	6299016.87	100.68
3295	1043971.43	6298554.74	173.36
3350	1044145.90	6298619.92	189.66
3321	1044521.66	6298292.15	295.74
54310	1046591.14	6300721.00	296.35
54462	1041744.78	6298047.00	351.20
54288	1045101.80	6300930.24	362.35
54426	1043383.92	6298621.52	380.94
3340	1044489.96	6298626.53	389.66
54483	1041546.05	6297526.90	410.83
3482	1043687.36	6298038.11	427.44
3360	1043096.30	6299177.73	605.67
3297	1043980.34	6298507.59	805.70
3293	1043989.83	6298540.11	865.29
3294	1043993.99	6298554.75	1063.42
3347	1044137.88	6298581.17	1364.42
2908	1044362.56	6297951.84	1652.71
3480	1043802.77	6297830.17	1939.35
2909	1044256.18	6297869.89	2377.49
