#"ObjectID"	"Centr_X"	"Centr_Y"	"Cap_CARE"
188	1042908.48	6300905.00	270
189	1040854.60	6299040.46	197
190	1041872.36	6301102.98	110
191	1043228.06	6299198.13	28
192	1040657.37	6295038.05	656
193	1043257.07	6297670.34	375
194	1045159.56	6297692.73	625
195	1045391.23	6298595.85	625
196	1045534.10	6298833.98	431
197	1044547.60	6298582.49	188
198	1044382.24	6298373.47	275
199	1044294.92	6298470.04	231
200	1043462.28	6298338.94	206
201	1043591.92	6298006.89	144
202	1043076.25	6298038.64	655
203	1043154.30	6298561.85	150
204	1042277.60	6301001.71	300
205	1042790.10	6300878.68	188
206	1043396.00	6300824.44	684
207	1043478.31	6299352.53	488
208	1043330.67	6299255.69	750
209	1042195.31	6297386.83	160
210	1042905.72	6298054.37	132
211	1040656.63	6298481.45	25
212	1041738.41	6298025.45	55
213	1043186.64	6299190.25	150
214	1043667.67	6298680.25	89
215	1043388.27	6301089.08	82
216	1045078.03	6300860.93	260
217	1045574.63	6298143.43	226
218	1040199.01	6294873.49	23
219	1041409.00	6297600.88	38
220	1041186.97	6302250.00	38
221	1040847.80	6299143.82	75
222	1040159.67	6294784.57	375
223	1044919.71	6300260.30	19
224	1042988.48	6300272.46	100
225	1045163.38	6299199.70	200
226	1044522.85	6297854.23	125
227	1045346.21	6298194.11	200
228	1045076.07	6300875.63	109
229	1042134.33	6301760.85	94
230	1043970.02	6301764.31	63
231	1040227.73	6295478.35	88
232	1042881.06	6301415.62	281
233	1045914.92	6298499.00	1125
234	1045643.56	6301003.86	275
235	1044112.71	6300853.65	28
236	1040909.08	6295460.64	531
237	1040979.75	6295706.51	450
238	1039730.69	6295588.38	200
239	1039946.59	6295844.50	375
240	1045024.91	6297748.65	125
241	1045529.80	6297684.56	938
242	1043944.75	6301226.34	94
243	1045843.37	6299782.42	175
244	1044673.22	6300436.32	625
245	1045328.54	6301241.18	195
246	1045035.78	6301544.26	263
247	1046359.79	6302457.52	778
248	1044990.93	6300045.43	144
249	1040308.41	6295446.71	238
250	1039991.30	6295835.12	208
251	1040179.46	6295824.85	150
252	1039529.30	6296607.56	75
253	1044203.43	6301096.57	201
254	1043451.30	6300065.99	200
255	1045743.14	6300041.33	319
256	1046040.54	6300122.67	55
257	1045015.32	6299953.45	336
258	1045321.46	6299251.65	50
259	1038646.18	6295448.74	875
260	1037896.76	6297338.78	469
261	1038845.18	6295027.61	625
262	1038943.09	6295000.10	78
263	1039547.53	6295665.16	581
264	1045268.82	6301276.50	38
265	1044782.27	6299595.96	19
266	1046079.11	6298945.49	44
267	1046039.34	6300101.08	108
268	1042285.27	6301865.53	78
269	1043384.91	6300010.38	150
270	1043921.50	6301732.49	197
271	1046205.78	6302731.85	594
272	1046861.18	6302773.74	531
273	1046011.23	6300364.67	28
274	1042172.27	6301753.76	78
275	1042852.78	6301104.67	150
276	1039017.10	6294927.35	600
277	1046383.50	6303790.51	1125
278	1045422.90	6299563.83	713
279	1039655.39	6294821.80	446
280	1037907.93	6296905.93	288
281	1038289.23	6295531.11	5601
282	1044995.34	6299175.73	94
283	1038059.90	6296236.35	250
284	1046383.38	6304291.03	750
285	1041024.58	6296771.02	1000
286	1044591.64	6300492.89	833
287	1042604.69	6298750.43	688
288	1040075.71	6294577.67	4375
289	1039673.54	6294363.89	200
290	1042149.20	6297687.27	500
291	1045806.22	6297698.00	1641
292	1043681.37	6300153.48	150
293	1043769.51	6300232.59	563
294	1043901.79	6299388.16	813
295	1044196.87	6299336.54	1625
296	1045686.21	6299384.28	750
297	1045479.83	6300237.88	9000
298	1045249.32	6301783.62	225
299	1046755.68	6302686.68	188
300	1044971.12	6300130.54	250
301	1043932.93	6299436.27	438
302	1038527.04	6295615.07	492
303	1038323.84	6295426.69	384
304	1039964.59	6294530.34	320
305	1038417.00	6295910.84	242
306	1042241.02	6297823.58	318
307	1042727.59	6298913.25	462
308	1042335.25	6298059.63	345
309	1040880.11	6297142.39	150
310	1037987.81	6297093.17	250
311	1044135.73	6300813.45	195
312	1043627.52	6300240.09	455
313	1044932.36	6298826.71	1748
314	1045055.23	6299339.37	3286
315	1045569.55	6301047.63	295
316	1046231.21	6302694.46	272
317	1038903.56	6294934.19	219
318	1037156.07	6302992.31	569
319	1046844.83	6302791.80	69
320	1037301.09	6301166.69	1719
321	1045016.62	6299111.94	469
322	1043942.65	6299837.40	775
323	1044769.44	6298454.55	569
324	1046840.11	6302657.49	272
325	1045834.07	6300517.48	438
326	1046199.13	6302890.80	239
327	1039532.70	6294497.36	153
328	1038937.62	6293543.36	120
329	1040354.06	6294713.14	1105
330	1039627.86	6295140.44	943
331	1039528.62	6295074.77	148
332	1038503.46	6296427.52	147
333	1038063.52	6298475.17	2119
334	1037826.47	6297190.57	767
335	1042466.94	6297559.41	22
336	1045757.00	6298341.37	590
337	1047010.32	6300157.00	93
338	1044447.31	6297970.55	27
339	1044583.30	6298186.23	633
340	1044276.70	6298029.68	333
341	1044047.18	6297906.74	144
342	1046476.13	6302344.08	21
343	1038633.10	6296481.70	150
344	1038658.70	6299994.89	156
345	1040850.06	6299696.18	43
346	1039616.47	6299109.23	353
347	1039053.81	6298657.44	536
348	1043691.79	6298608.70	36
349	1042690.90	6297455.84	680
350	1041586.63	6297355.20	66
351	1041384.69	6297507.88	86
352	1041204.35	6296740.45	40
353	1040707.25	6296123.56	168
354	1045870.76	6300614.91	223
355	1044872.07	6299419.19	558
356	1045150.65	6301371.86	70
357	1045489.49	6301256.23	110
358	1044966.14	6300432.06	246
359	1044222.24	6301760.56	165
360	1043452.90	6300171.75	85
361	1043651.13	6300042.17	200
362	1044135.77	6300879.62	40
363	1043758.94	6301552.39	30
364	1043732.77	6301514.84	10
365	1043127.10	6301004.01	65
366	1042052.11	6301007.59	333
367	1042156.72	6301041.89	147
368	1042375.61	6300736.36	20
369	1042602.36	6300793.41	90
370	1043506.34	6299677.32	105
371	1043171.42	6298903.36	10
372	1043454.70	6298765.27	115
373	1039518.82	6294892.80	313
374	1043631.39	6300173.43	80
