ID_BAT	ID_CARE
53437	294
6123	302
38457	297
53905	309
54420	329
54329	312
3127	314
48817	340
54159	317
6460	313
46839	329
48254	357
54408	320
54335	367
49969	295
54176	297
49297	333
36219	311
53801	308
54205	296
49447	329
49355	329
2856	295
3109	290
44537	319
47997	338
6826	297
3560	295
3348	297
3797	308
51867	348
3563	294
3248	360
3669	295
6543	321
48994	329
3063	291
3636	315
54268	216
54190	296
4773	288
54139	346
4192	320
44011	333
54217	345
54507	343
49973	295
3212	373
49962	346
3290	370
48753	302
3439	330
52980	300
54348	300
4079	346
54127	295
49997	291
54259	298
54355	294
53523	322
2829	365
53900	308
38430	297
48302	291
54475	331
3310	333
4910	291
5169	291
52696	317
4106	343
3469	315
36228	297
6154	321
49208	327
2830	362
39496	297
54121	295
54504	350
3451	329
3336	255
3327	324
2843	363
10537	288
3082	297
3301	295
53707	310
6156	313
3670	374
3629	298
3623	298
48277	354
48429	354
27059	290
54189	291
3822	341
3125	297
3537	343
6437	321
3209	297
48993	320
50090	304
36232	297
38447	313
49158	370
6841	296
6763	297
51065	333
2828	311
5821	336
54502	292
3824	333
26645	320
53715	306
54013	322
3303	304
4918	295
6562	297
26639	321
3612	297
3620	304
54353	294
54226	316
49987	339
54447	320
54276	320
3741	297
3106	354
5417	294
4392	374
50091	356
38450	358
54163	334
54273	297
43851	352
6342	313
50608	343
54156	328
54292	297
48404	297
52290	295
2848	321
3298	309
47831	296
48301	297
54125	301
2763	313
6161	313
42033	350
6159	313
5918	313
3487	357
43823	332
48220	325
53831	309
54427	306
54380	314
40050	313
3448	300
54332	322
2800	321
36372	304
54110	308
50195	297
47973	297
3386	333
3656	359
2877	306
11018	288
3430	333
24909	344
3353	320
54194	290
54198	297
48223	297
38445	297
47784	297
54272	290
48222	297
54210	343
54208	336
47352	297
54153	308
2865	327
3089	298
36212	290
3304	346
2753	313
54138	347
5787	294
4484	320
54229	316
4426	334
54280	365
3643	319
54281	320
54107	301
54305	297
47633	326
3064	291
54323	317
54233	324
2927	340
2847	295
3352	311
3573	336
4425	334
3191	297
48759	313
4943	291
2775	322
3483	328
54115	306
54248	326
54264	315
3682	324
3418	308
38466	300
54270	291
38462	297
49157	320
54232	325
3713	361
50474	332
3478	320
3291	294
4397	334
54161	327
54321	297
54275	316
38448	358
49978	195
54318	353
3088	358
49027	320
35744	358
48214	297
38453	297
3677	300
54324	367
3365	320
54173	291
3566	291
3244	288
54093	302
3368	327
54254	290
2837	295
54230	316
53655	361
3126	297
54123	306
44047	351
52974	295
54320	333
54130	322
54079	306
49918	317
4928	296
54231	288
48625	297
54297	366
3355	309
3362	329
3734	313
54170	353
54388	322
54251	320
3441	351
52388	295
6134	199
54137	301
2924	316
2840	360
54330	361
54271	294
53654	295
48288	297
4455	322
49039	249
38464	300
2777	314
3429	332
54326	297
54104	295
3642	366
36307	356
2756	297
54298	312
48379	301
2773	297
3193	297
3428	333
5990	313
6144	339
54340	322
54066	305
54342	370
3791	297
54135	329
3481	339
36225	294
4449	290
54325	294
3210	297
3410	320
4393	334
54257	320
54339	312
2929	341
3434	346
38465	297
2923	302
3351	304
54479	333
3288	318
3702	297
54334	292
54246	291
2910	294
6366	297
54279	320
54379	361
4434	334
36425	315
3712	295
54151	306
5848	297
7127	296
3123	206
6157	297
3477	328
54407	321
4394	333
4396	333
50421	333
3300	310
54097	307
3445	346
3708	294
6468	320
54430	336
2752	313
54457	296
49161	329
6373	317
54506	353
54175	297
54265	298
3497	372
54287	357
54295	358
38468	297
54223	318
54425	326
3565	291
54106	301
49985	295
4190	320
3817	293
2797	314
54134	337
3378	333
54294	292
54228	288
54179	291
3727	369
2926	303
3809	326
3343	304
54243	318
2930	341
3554	366
3283	289
54132	288
48221	325
3613	313
54253	366
54358	322
11337	288
3698	299
3369	329
3214	299
3555	294
3366	320
54167	334
3731	297
3309	344
3476	308
2928	304
54209	347
54337	312
3728	302
3447	346
54269	359
54505	349
3703	311
54299	206
54303	333
54077	372
54376	318
54317	354
54410	373
54247	329
2925	340
3364	329
27048	366
54266	293
2827	295
3067	232
54202	310
3159	316
3215	297
4463	347
54128	308
3446	331
3387	333
3243	288
54221	322
3363	320
54411	289
2813	367
3733	324
3716	297
3349	293
3449	347
3344	296
3485	333
54396	314
54234	291
2911	291
2921	294
54213	334
54245	288
3305	301
54333	322
2912	305
2919	336
54397	318
3295	255
3350	313
2764	321
3796	297
3484	320
54262	349
54289	297
3799	314
3292	339
54136	330
3312	333
54285	293
54267	315
2922	302
54238	333
54456	336
2754	373
3600	334
54240	333
3479	325
3711	297
2915	312
2751	297
54291	297
54255	296
3726	297
3417	333
3792	323
54274	297
3321	340
54310	288
3475	347
54296	295
54225	318
54182	288
54286	290
54278	297
3313	330
3701	291
3299	303
54309	355
3578	291
4435	355
54462	330
54288	349
54426	320
3340	297
54483	339
3588	313
2767	195
3482	329
3719	307
3700	323
3320	295
3360	297
3297	314
3293	297
3294	297
3347	313
2908	297
3480	314
2909	288
