ID_BAT	ID_CARE
53437	294
6123	302
38457	297
53905	306
54420	320
54329	312
3127	291
48817	340
54159	310
6460	296
46839	329
48254	357
54408	306
54335	257
49969	310
54176	358
49297	333
36219	311
53801	306
54205	291
49447	330
49355	329
2856	311
3109	288
44537	320
47997	338
6826	291
3560	290
3348	302
3797	303
51867	333
3563	291
3248	359
3669	295
6543	320
48994	328
3063	291
3636	315
54268	313
54190	296
4773	290
54139	347
4192	320
44011	349
54217	344
54507	346
49973	290
3212	300
49962	207
3290	370
48753	304
3439	331
52980	293
54348	297
4079	347
54127	309
49997	295
54259	298
54355	294
53523	322
2829	365
53900	311
38430	367
48302	291
54475	333
3310	332
4910	313
5169	291
52696	320
4106	346
3469	345
36228	288
6154	321
49208	328
2830	362
39496	301
54121	295
54504	348
3451	332
3336	266
3327	322
2843	363
10537	288
3082	297
3301	309
53707	301
6156	313
3670	374
3629	298
3623	298
48277	353
48429	357
27059	319
54189	334
3822	341
3125	288
3537	343
6437	321
3209	291
48993	326
50090	296
36232	359
38447	297
49158	370
6841	291
6763	296
51065	333
2828	312
5821	322
54502	291
3824	281
26645	329
53715	309
54013	339
3303	317
4918	296
6562	297
26639	365
3612	296
3620	299
54353	289
54226	316
49987	339
54447	333
54276	320
3741	313
3106	354
5417	291
4392	373
50091	356
38450	358
54163	372
54273	288
43851	352
6342	313
50608	343
54156	320
54292	222
48404	297
52290	306
2848	290
3298	295
47831	288
48301	297
54125	301
2763	297
6161	297
42033	347
6159	313
5918	313
3487	353
43823	333
48220	324
53831	295
54427	320
54380	303
40050	313
3448	333
54332	322
2800	321
36372	305
54110	306
50195	297
47973	297
3386	333
3656	289
2877	320
11018	298
3430	373
24909	344
3353	320
54194	289
54198	297
48223	291
38445	297
47784	297
54272	290
48222	297
54210	373
54208	336
47352	297
54153	310
2865	329
3089	268
36212	288
3304	347
2753	291
54138	347
5787	313
4484	329
54229	316
4426	344
54280	361
3643	290
54281	320
54107	321
54305	297
47633	328
3064	291
54323	294
54233	324
2927	340
2847	289
3352	320
3573	291
4425	334
3191	297
48759	339
4943	291
2775	322
3483	327
54115	302
54248	326
54264	315
3682	324
3418	320
38466	297
54270	288
38462	297
49157	317
54232	325
3713	361
50474	315
3478	320
3291	294
4397	334
54161	329
54321	297
54275	316
38448	358
49978	320
54318	297
3088	358
49027	317
35744	359
48214	291
38453	296
3677	373
54324	367
3365	319
54173	360
3566	291
3244	290
54093	301
3368	268
54254	289
2837	292
54230	316
53655	360
3126	288
54123	307
44047	351
52974	305
54320	344
54130	336
54079	309
49918	320
4928	336
54231	288
48625	374
54297	366
3355	320
3362	328
3734	296
54170	353
54388	322
54251	320
3441	351
52388	294
6134	339
54137	301
2924	303
2840	294
54330	294
54271	317
53654	359
48288	296
4455	322
49039	320
38464	299
2777	301
3429	333
54326	297
54104	303
3642	215
36307	356
2756	297
54298	312
48379	300
2773	300
3193	297
3428	373
5990	313
6144	339
54340	240
54066	295
54342	370
3791	297
54135	330
3481	339
36225	310
4449	350
54325	291
3210	291
3410	333
4393	334
54257	320
54339	312
2929	341
3434	333
38465	297
2923	336
3351	320
54479	332
3288	189
3702	290
54334	290
54246	288
2910	291
6366	313
54279	320
54379	321
4434	334
36425	315
3712	294
54151	318
5848	313
7127	296
3123	297
6157	296
3477	320
54407	321
4394	334
4396	343
50421	333
3300	316
54097	302
3445	333
3708	292
6468	313
54430	336
2752	337
54457	296
49161	330
6373	320
54506	353
54175	297
54265	298
3497	373
54287	357
54295	358
38468	291
54223	318
54425	326
3565	336
54106	301
49985	294
4190	320
3817	291
2797	302
54134	294
3378	333
54294	318
54228	288
54179	288
3727	369
2926	301
3809	326
3343	295
54243	318
2930	341
3554	361
3283	288
54132	288
48221	297
3613	312
54253	366
54358	322
11337	288
3698	299
3369	320
3214	291
3555	290
3366	329
54167	334
3731	297
3309	331
3476	320
2928	302
54209	349
54337	312
3728	297
3447	349
54269	367
54505	349
3703	311
54299	291
54303	300
54077	372
54376	320
54317	354
54410	320
54247	320
2925	340
3364	327
27048	318
54266	288
2827	294
3067	329
54202	312
3159	316
3215	288
4463	349
54128	295
3446	349
3387	334
3243	288
54221	323
3363	329
54411	295
2813	354
3733	324
3716	294
3349	304
3449	349
3344	302
3485	333
54396	317
54234	288
2911	291
2921	304
54213	333
54245	288
3305	310
54333	322
2912	322
2919	305
54397	314
3295	306
3350	303
2764	321
3796	297
3484	330
54262	334
54289	291
3799	297
3292	339
54136	330
3312	347
54285	293
54267	315
2922	297
54238	333
54456	336
2754	366
3600	297
54240	333
3479	329
3711	322
2915	296
2751	313
54291	297
54255	288
3726	291
3417	333
3792	297
54274	288
3321	340
54310	288
3475	346
54296	293
54225	318
54182	288
54286	297
54278	297
3313	330
3701	288
3299	308
54309	355
3578	295
4435	279
54462	333
54288	355
54426	325
3340	313
54483	347
3588	313
2767	297
3482	329
3719	307
3700	323
3320	339
3360	297
3297	295
3293	297
3294	297
3347	313
2908	314
3480	314
2909	297
